Title	channel_title	published_at	category_id	view_count	like_count	comment_count	favorite_count	duration	definition	caption	engagement_rate	likes_to_views_ratio	comments_to_views_ratio	duration_seconds	video_age_days
LA PERVERSA X LA INSUPERABLE X ALOFOKE MUSIC X SHADOW BLOW - BANDIDA	AlofokeMusicSounds	2025-11-16 15:34:55+00:00	10	1405647	140463	9063	0	PT1M51S	hd	FALSE	0.106375138	0.099927578	0.00644756	111	1
Moana | Official Teaser	Disney	2025-11-17 17:00:47+00:00	24	2776847	26801	6684	0	PT1M	hd	TRUE	0.012058636	0.009651591	0.002407046	60	0
$0 - $1 Trillion Only FISHING in Steal a Brainrot..	CaylusBlox	2025-11-17 22:57:14+00:00	20	1189857	16174	1827	0	PT18M2S	hd	FALSE	0.015128696	0.013593219	0.001535477	1082	0
ALLDAY PROJECT - â€˜ONE MORE TIMEâ€™ M/V	THEBLACKLABEL	2025-11-17 09:00:07+00:00	10	5319161	0	12869	0	PT3M23S	hd	TRUE	0.002419366	0	0.002419366	203	1
La Lupa | Vendetta Hero Trailer | Overwatch 2	PlayOverwatch	2025-11-17 17:00:06+00:00	20	597542	41742	4728	0	PT3M35S	hd	TRUE	0.077768462	0.069856061	0.007912401	215	0
I Shouldnâ€™t Have Went Christmas Shoppingâ€¦	CaseOh	2025-11-17 23:01:11+00:00	20	296652	10565	676	0	PT1H13M51S	hd	FALSE	0.037892757	0.035614	0.002278757	4431	0
Charli xcx - Chains of Love (Official Video)	Charli xcx	2025-11-17 17:00:56+00:00	10	333414	33124	1778	0	PT3M13S	hd	FALSE	0.104680353	0.09934766	0.005332693	193	0
Wake Up Dead Man: A Knives Out Mystery | Official Trailer | Netflix	Netflix	2025-11-17 14:00:00+00:00	24	1925626	34578	1248	0	PT2M3S	hd	TRUE	0.018604849	0.017956749	0.000648101	123	0
It's all crashing down..	Asmongold TV	2025-11-18 02:00:35+00:00	20	755718	26231	5285	0	PT17M13S	hd	FALSE	0.041703332	0.034709991	0.00699334	1033	0
DeeBaby  - Pain Gon Come (  Official Music Video )	Official DeeBabyTV	2025-11-17 19:00:57+00:00	10	92297	4674	306	0	PT2M56S	hd	FALSE	0.053955665	0.050640317	0.003315348	176	0
